コード,銘柄名,市場・商品区分,33業種区分,規模区分
9636,きんえい,東証2部,サービス業,-
9637,オーエス,東証2部,サービス業,-
9639,三協フロンテア,JASDAQ,サービス業,-
9640,セゾン情報システムズ,JASDAQ,情報・通信業,-
9641,サコス,JASDAQ,サービス業,-
9644,タナベ経営,東証1部,サービス業,TOPIX Small 2
9647,協和コンサルタンツ,JASDAQ,サービス業,-
9651,日本プロセス,JASDAQ,情報・通信業,-
9656,グリーンランドリゾート,東証2部,サービス業,-
9658,ビジネスブレイン太田昭和,東証1部,情報・通信業,TOPIX Small 2
9661,歌舞伎座,東証2部,サービス業,-
9663,ナガワ,東証1部,サービス業,TOPIX Small 2
9672,東京都競馬,東証1部,サービス業,TOPIX Small 1
9675,常磐興産,東証1部,サービス業,TOPIX Small 2
9678,カナモト,東証1部,サービス業,TOPIX Small 1
9679,ホウライ,JASDAQ,サービス業,-
9682,ＤＴＳ,東証1部,情報・通信業,TOPIX Small 1
9684,スクウェア・エニックス・ホールディングス,東証1部,情報・通信業,TOPIX Mid400
9685,ＫＹＣＯＭホールディングス,JASDAQ,情報・通信業,-
9686,東洋テック,東証2部,サービス業,-
9687,ＫＳＫ,JASDAQ,情報・通信業,-
9691,両毛システムズ,JASDAQ,情報・通信業,-
9692,シーイーシー,東証1部,情報・通信業,TOPIX Small 1
9696,ウィザス,JASDAQ,サービス業,-
9697,カプコン,東証1部,情報・通信業,TOPIX Mid400
9698,クレオ,JASDAQ,情報・通信業,-
9699,西尾レントオール,東証1部,サービス業,TOPIX Small 1
9701,東京會舘,東証2部,サービス業,-
9702,アイ・エス・ビー,東証1部,情報・通信業,TOPIX Small 2
9704,アゴーラ　ホスピタリティー　グループ,東証1部,サービス業,TOPIX Small 2
9706,日本空港ビルデング,東証1部,不動産業,TOPIX Mid400
9708,帝国ホテル,東証2部,サービス業,-
9709,ＮＣＳ＆Ａ,東証2部,情報・通信業,-
9713,ロイヤルホテル,東証2部,サービス業,-
9715,トランス・コスモス,東証1部,サービス業,TOPIX Small 1
9716,乃村工藝社,東証1部,サービス業,TOPIX Small 1
9717,ジャステック,東証1部,情報・通信業,TOPIX Small 2
9719,ＳＣＳＫ,東証1部,情報・通信業,TOPIX Mid400
9720,ホテル、ニューグランド,JASDAQ,サービス業,-
9722,藤田観光,東証1部,サービス業,TOPIX Small 2
9723,京都ホテル,東証2部,サービス業,-
9726,ＫＮＴ－ＣＴホールディングス,東証1部,サービス業,TOPIX Small 2
9728,日本管財,東証1部,サービス業,TOPIX Small 2
9729,トーカイ,東証1部,サービス業,TOPIX Small 2
9731,白洋舎,東証1部,サービス業,TOPIX Small 2
9733,ナガセ,JASDAQ,サービス業,-
9734,精養軒,JASDAQ,サービス業,-
9735,セコム,東証1部,サービス業,TOPIX Large70
9739,日本システムウエア,東証1部,情報・通信業,TOPIX Small 2
9740,セントラル警備保障,東証1部,サービス業,TOPIX Small 1
9742,アイネス,東証1部,情報・通信業,TOPIX Small 1
9743,丹青社,東証1部,サービス業,TOPIX Small 1
9744,メイテック,東証1部,サービス業,TOPIX Mid400
9746,ＴＫＣ,東証1部,情報・通信業,TOPIX Small 1
9749,富士ソフト,東証1部,情報・通信業,TOPIX Small 1
9753,アイエックス・ナレッジ,JASDAQ,情報・通信業,-
9755,応用地質,東証1部,サービス業,TOPIX Small 2
9757,船井総研ホールディングス,東証1部,サービス業,TOPIX Small 1
9759,ＮＳＤ,東証1部,情報・通信業,TOPIX Small 1
9760,進学会ホールディングス,東証1部,サービス業,TOPIX Small 2
9761,東海リース,東証2部,サービス業,-
9763,丸紅建材リース,東証1部,卸売業,TOPIX Small 2
9765,オオバ,東証1部,サービス業,TOPIX Small 2
9766,コナミホールディングス,東証1部,情報・通信業,TOPIX Mid400
9767,日建工学,東証2部,サービス業,-
9768,いであ,東証1部,サービス業,TOPIX Small 2
9769,学究社,東証1部,サービス業,TOPIX Small 2
9776,札幌臨床検査センター,JASDAQ,サービス業,-
9778,昴,JASDAQ,サービス業,-
9780,ハリマビステム,JASDAQ,サービス業,-
9782,ディーエムエス,JASDAQ,サービス業,-
9783,ベネッセホールディングス,東証1部,サービス業,TOPIX Mid400
9787,イオンディライト,東証1部,サービス業,TOPIX Small 1
9788,ナック,東証1部,サービス業,TOPIX Small 2
9790,福井コンピュータホールディングス,東証1部,情報・通信業,TOPIX Small 1
9791,ビケンテクノ,東証2部,サービス業,-
9793,ダイセキ,東証1部,サービス業,TOPIX Small 1
9795,ステップ,東証1部,サービス業,TOPIX Small 2
9799,旭情報サービス,東証2部,情報・通信業,-
9810,日鉄物産,東証1部,卸売業,TOPIX Small 1
9812,テーオーホールディングス,JASDAQ,卸売業,-
9816,ストライダーズ,JASDAQ,不動産業,-
9818,大丸エナウィン,東証2部,卸売業,-
9820,エムティジェネックス,JASDAQ,不動産業,-
9823,マミーマート,JASDAQ,小売業,-
9824,泉州電業,東証1部,卸売業,TOPIX Small 2
9827,リリカラ,JASDAQ,卸売業,-
9828,元気寿司,東証1部,小売業,TOPIX Small 2
9830,トラスコ中山,東証1部,卸売業,TOPIX Small 1
9831,ヤマダホールディングス,東証1部,小売業,TOPIX Mid400
9832,オートバックスセブン,東証1部,卸売業,TOPIX Mid400
9835,ジュンテンドー,東証2部,小売業,-
9837,モリト,東証1部,卸売業,TOPIX Small 2
9842,アークランドサカモト,東証1部,小売業,TOPIX Small 1
9843,ニトリホールディングス,東証1部,小売業,TOPIX Large70
9845,パーカーコーポレーション,東証2部,化学,-
9846,天満屋ストア,東証2部,小売業,-
9849,共同紙販ホールディングス,JASDAQ,卸売業,-
9850,グルメ杵屋,東証1部,小売業,TOPIX Small 2
9852,ＣＢグループマネジメント,JASDAQ,卸売業,-
9853,銀座ルノアール,JASDAQ,小売業,-
9854,愛眼,東証1部,小売業,TOPIX Small 2
9856,ケーユーホールディングス,東証1部,小売業,TOPIX Small 2
9857,英和,東証2部,卸売業,-
9861,吉野家ホールディングス,東証1部,小売業,TOPIX Mid400
9867,ソレキア,JASDAQ,卸売業,-
9869,加藤産業,東証1部,卸売業,TOPIX Small 1
9872,北恵,東証1部,卸売業,TOPIX Small 2
9873,日本ＫＦＣホールディングス,東証2部,小売業,-
9876,コックス,JASDAQ,小売業,-
9878,セキド,東証2部,小売業,-
9880,イノテック,東証1部,卸売業,TOPIX Small 2
9882,イエローハット,東証1部,卸売業,TOPIX Small 1
9885,シャルレ,東証2部,卸売業,-
9887,松屋フーズホールディングス,東証1部,小売業,TOPIX Small 2
9888,ＵＥＸ,JASDAQ,卸売業,-
9889,ＪＢＣＣホールディングス,東証1部,情報・通信業,TOPIX Small 2
9890,マキヤ,JASDAQ,小売業,-
9895,コンセック,JASDAQ,卸売業,-
9896,ＪＫホールディングス,東証1部,卸売業,TOPIX Small 2
9900,サガミホールディングス,東証1部,小売業,TOPIX Small 2
9902,日伝,東証1部,卸売業,TOPIX Small 2
9903,カンセキ,JASDAQ,小売業,-
9904,ベリテ,東証2部,小売業,-
9906,藤井産業,JASDAQ,卸売業,-
9908,日本電計,JASDAQ,卸売業,-
9913,日邦産業,JASDAQ,卸売業,-
9914,植松商会,JASDAQ,卸売業,-
9919,関西フードマーケット,東証1部,小売業,TOPIX Small 2
9927,ワットマン,JASDAQ,小売業,-
9928,ミロク情報サービス,東証1部,情報・通信業,TOPIX Small 1
9929,平和紙業,東証2部,卸売業,-
9930,北沢産業,東証1部,卸売業,TOPIX Small 2
9932,杉本商事,東証1部,卸売業,TOPIX Small 2
9934,因幡電機産業,東証1部,卸売業,TOPIX Small 1
9936,王将フードサービス,東証1部,小売業,TOPIX Small 1
9941,太洋物産,JASDAQ,卸売業,-
9945,プレナス,東証1部,小売業,TOPIX Small 1
9946,ミニストップ,東証1部,小売業,TOPIX Small 2
